,open,high,low,close,volume,moving_avg_5,moving_avg_10,volatility
2025-01-15 15:50:00,237.98,238.0,237.35,237.68,1157676,237.84063999999998,237.78894,0.000925101743326552
2025-01-15 15:55:00,237.67,238.96,237.6,237.88,2189943,237.84063999999998,237.80293999999998,0.0008598740533408203
2025-01-15 16:00:00,237.84,238.13,237.8,237.85,21726840,237.844,237.80694,0.0008564013631730155
2025-01-15 16:05:00,237.87,237.89,237.7,237.85,17712,237.85,237.81293999999997,0.0008556278421020553
2025-01-15 16:10:00,237.89,237.89,237.81,237.86,67013,237.824,237.82644,0.0007686025487088037
2025-01-15 16:15:00,237.87,237.94,237.7,237.845,4892,237.85699999999997,237.84882,0.0003978997172725347
2025-01-15 16:20:00,237.845,237.94,237.8,237.88,8903,237.85699999999997,237.84882,0.0001040477418715655
2025-01-15 16:25:00,237.88,237.999,237.83,237.97,3435,237.881,237.8625,0.00017294661516449993
2025-01-15 16:30:00,237.96,238.03,237.902,237.95,7002,237.901,237.87550000000002,0.00018858170674488438
2025-01-15 16:35:00,237.96,238.0,237.87,237.98,68992,237.925,237.87449999999998,0.0001876402425623731
2025-01-15 16:40:00,237.96,238.0,237.93,238.0,582,237.956,237.9065,0.00016576347729938294
2025-01-15 16:45:00,237.94,238.09,237.91,237.98,5268,237.97599999999997,237.91649999999998,0.00019031671949252976
2025-01-15 16:50:00,237.98,238.0,237.91,237.955,1838,237.973,237.927,0.00010877143378711046
2025-01-15 16:55:00,237.955,238.0,237.91,237.965,602,237.97600000000003,237.93850000000003,0.0001025016712354449
2025-01-15 17:00:00,237.94,238.0,237.87,237.975,78771,237.975,237.95,8.456359703708154e-05
2025-01-15 17:05:00,237.99,238.12,237.93,238.045,3030,237.984,237.96999999999997,0.00015890252464241089
2025-01-15 17:10:00,238.045,238.24,238.01,238.17,2427,238.022,237.99900000000002,0.0002496947156077386
2025-01-15 17:15:00,238.17,238.24,238.16,238.215,2565,238.074,238.02349999999996,0.0002018008141549517
2025-01-15 17:20:00,238.24,258.865,238.18,238.295,3984,238.14000000000001,238.058,0.00017908277153624958
2025-01-15 17:25:00,238.29,238.37,237.87,238.285,6046,238.202,238.08849999999998,0.00020822555090179462
2025-01-15 17:30:00,238.22,238.36,238.22,238.35,1300,238.263,238.1235,0.000207578389015065
2025-01-15 17:35:00,238.36,238.36,238.21,238.265,672,238.28199999999998,238.152,0.0002828398751206478
2025-01-15 17:40:00,238.21,238.32,238.21,238.25,871,238.289,238.1815,0.0002809660609615506
2025-01-15 17:45:00,238.21,238.235,238.0,238.075,822,238.24499999999998,238.19249999999997,0.00037958736150220683
2025-01-15 17:50:00,238.075,238.2,238.0,238.2,609,238.22799999999998,238.215,0.0004988386857008041
2025-01-15 17:55:00,238.19,238.26,237.87,238.26,2953,238.20999999999998,238.23649999999998,0.0004953113088031732
2025-01-15 18:00:00,238.25,238.31,238.0,238.13,4231,238.183,238.2325,0.0005282522436765306
2025-01-15 18:05:00,238.24,238.31,238.0,238.17,241,238.16699999999997,238.228,0.0005436189855535805
2025-01-15 18:10:00,238.268,238.31,238.0,238.155,539,238.183,238.214,0.00040199057558987266
2025-01-15 18:15:00,238.155,238.35,238.01,238.33,771,238.20899999999997,238.2185,0.00046734570401331377
2025-01-15 18:20:00,238.33,238.35,238.2,238.3,960,238.217,238.21349999999998,0.00046904662159830596
2025-01-15 18:25:00,238.3,238.4,238.25,238.3484,2556,238.26068,238.22184,0.0003394996780739911
2025-01-15 18:30:00,238.3,238.48,238.23,238.32,6029,238.29067999999998,238.22884,0.0003660111845911142
2025-01-15 18:35:00,238.05,238.48,238.05,238.45,379,238.34967999999998,238.26633999999999,0.0003879711607743105
2025-01-15 18:40:00,238.36,238.48,238.27,238.44,372,238.37168000000003,238.29033999999996,0.00028635094146110303
2025-01-15 18:45:00,238.375,238.48,238.15,238.457,1440,238.40308,238.31004000000001,0.00026126743945449295
2025-01-15 18:50:00,238.457,238.46,238.23,238.335,897,238.4004,238.33053999999998,0.0003806985367513462
2025-01-15 18:55:00,238.335,238.45,238.23,238.345,1195,238.40540000000001,238.34804,0.0003760656768581172
2025-01-15 19:00:00,238.345,238.45,238.31,238.31,1669,238.3774,238.36354,0.00023610087741210518
